A0A024HKB0	EXPREG_000000010
A0A072Z841	EXPREG_000000020
A0A074IWI7	EXPREG_000000030
A0A087I6S4	EXPREG_000000040
A0A0B6P4W3	EXPREG_000000050
A0A0C6FYN7	EXPREG_000000060
A0A0C7D413	EXPREG_000000070
A0A0E2J8L1	EXPREG_000000080
A0A0F3HTU8	EXPREG_000000090
A0A0F6AWN9	EXPREG_0000000A0
A0A0F6AXY2	EXPREG_0000000B0
A0A0H0Y234	EXPREG_0000000C0
A0A0H2X9M1	EXPREG_000001920
A0A0H2ZHG6	EXPREG_0000000D0
A0A0H2ZQ65	EXPREG_0000000E0
A0A0H3AK48	EXPREG_0000000F0
A0A0H3C2M1	EXPREG_000000100
A0A0H3CCL0	EXPREG_000000110
A0A0H3K9R5	EXPREG_000001880
A0A0H3NC35	EXPREG_000000120
A0A0H3Q915	EXPREG_000000130
A0A0H3Q9Z3	EXPREG_000000140
A0KST7	EXPREG_000000150
A0L9E2	EXPREG_000000160
A0QVY5	EXPREG_000000170
A0R5H1	EXPREG_000000180
A1B3Z0	EXPREG_000000190
A1JSH8	EXPREG_0000001A0
A2RHP2	EXPREG_0000001B0
A2RKI6	EXPREG_0000001C0
A3M333	EXPREG_0000001D0
A3N1M0	EXPREG_0000001E0
A3P7B1	EXPREG_000001930
A4FBF9	EXPREG_0000001F0
A4FQD5	EXPREG_000000200
A4QDE6	EXPREG_000000210
A4VT39	EXPREG_000000220
A5F1W7	EXPREG_000000230
A5F384	EXPREG_000000240
A5F6G4	EXPREG_000000250
A5F6Z2	EXPREG_000000260
A7MVC2	EXPREG_000000270
A7MXA8	EXPREG_000000280
A7MXJ7	EXPREG_000000290
A8AWB2	EXPREG_0000002A0
A8CG91	EXPREG_0000002B0
A9BGA3	EXPREG_0000002C0
A9CJU2	EXPREG_0000002D0
B1JJ73	EXPREG_0000002E0
B1W457	EXPREG_0000002F0
B3G2A3	EXPREG_000000300
B3H1Z1	EXPREG_000000310
B5EV73	EXPREG_000000320
B5XI03	EXPREG_000000330
B5Z6G7	EXPREG_000000340
B5Z8Y5	EXPREG_000000350
B6EHL8	EXPREG_000000360
B7J425	EXPREG_000000370
B8CQZ2	EXPREG_000000380
B8CUX0	EXPREG_0000018D0
B9DUC0	EXPREG_000000390
C1F978	EXPREG_0000003A0
D2BRN2	EXPREG_0000003C0
D2TIS0	EXPREG_0000003D0
D3UIX2	EXPREG_0000003E0
D4G1L9	EXPREG_0000003F0
D5AKG8	EXPREG_000000400
D5ALN0	EXPREG_000001950
D6EK73	EXPREG_0000018A0
E0SG24	EXPREG_000000410
E7FJA6	EXPREG_000000420
F7X8H2	EXPREG_000000430
F8G324	EXPREG_000000440
F9UQH6	EXPREG_000000450
G0KUD5	EXPREG_000000460
G3XCU2	EXPREG_000000470
